file,error,candidate_1_latin,candidate_1_common,candidate_1_score,candidate_1_curriculum_id,candidate_2_latin,candidate_2_common,candidate_2_score,candidate_2_curriculum_id,candidate_3_latin,candidate_3_common,candidate_3_score,candidate_3_curriculum_id
2026-08-09_08-38-47_045.jpg,,Pinus halepensis,Aleppo pine,0.122,,Pinus wallichiana,Blue Pine,0.120,,Pinus pinaster,Maritime pine,0.110,
2026-08-09_08-38-55_094.jpg,,Pinus strobiformis,Southwestern white pine,0.277,,Pinus monticola,Western white pine,0.156,,Pinus strobus,Eastern white pine,0.137,pin-str
2026-08-09_08-38-59_691.jpg,,Pinus strobus,Eastern white pine,0.400,pin-str,Pinus cembra,Arolla pine,0.016,,Pinus wallichiana,Blue Pine,0.010,
2026-08-09_08-40-10_779.jpg,,Hesperocyparis lusitanica,Cypress,0.217,,Juniperus virginiana,Eastern red cedar,0.190,jun-vir,Hesperocyparis macrocarpa,Monterey cypress,0.092,
2026-08-09_08-40-16_717.jpg,,Callitris preissii,Rottnest Island pine,0.442,,Juniperus ashei,Ashe Juniper,0.155,,Juniperus turbinata,Mediterranean juniper,0.068,
2026-08-09_08-40-21_598.jpg,,Hesperocyparis lusitanica,Cypress,0.125,,Juniperus virginiana,Eastern red cedar,0.095,jun-vir,Juniperus thurifera,Incense juniper,0.047,
2026-08-09_08-49-41_278.jpg,,Lagerstroemia indica,Crapemyrtle,0.907,lag-ind,Lagerstroemia speciosa,Queen's crape myrtle,0.077,,,,,
2026-08-09_08-49-48_571.jpg,,Lagerstroemia speciosa,Queen's crape myrtle,0.506,,Lagerstroemia indica,Crapemyrtle,0.442,lag-ind,Lagerstroemia limii,,0.002,
2026-08-09_08-49-52_322.jpg,,Lagerstroemia indica,Crapemyrtle,0.898,lag-ind,Lagerstroemia speciosa,Queen's crape myrtle,0.075,,Luma apiculata,Chilean myrtle,0.005,
2026-08-09_08-50-19_709.jpg,,Euonymus alatus,Burning bush,0.549,euo-ala,Forsythia viridissima,Greenstem forsythia,0.019,,Aesculus parviflora,Bottlebrush buckeye,0.018,aes-par
2026-08-09_08-50-26_069.jpg,,Viburnum rhytidophyllum,Leatherleaf viburnum,0.778,,Viburnum lantana,Wayfaring tree,0.035,,Viburnum carlesii,Koreanspice viburnum,0.025,vib-car
